,0,1,2
180,1539.927196,1484.258446,1660.812781
181,1553.865696,1441.76094,1657.146998
182,1573.643873,1413.201933,1656.422366
183,1529.654479,1389.033342,1671.810129
184,1553.865696,1349.434361,1662.986675
185,1519.424387,1268.872388,1655.697735
186,1536.261413,1227.099513,1657.146998
187,1495.255795,1186.818527,1621.981057
188,1473.985729,1118.703165,1597.087834
189,1457.873334,1102.548145,1557.531479
190,1443.210203,1021.261541,1560.430005
191,1435.921262,1017.595758,1517.207867
192,1429.314328,979.4886659,1504.761255
193,1410.260782,928.2103307,1471.811835
194,1403.653848,912.8225676,1435.154006
195,1408.044262,876.9319955,1374.37021
196,1419.766242,851.9961467,1317.209572
197,1389.033342,831.4933377,1314.268421
198,1383.87567,804.3835943,1279.10248
199,1383.151039,805.1508512,1232.981816
200,1383.87567,797.8192854,1196.323987
201,1367.038644,790.4877196,1174.371915
202,1349.434361,797.0520285,1104.764665
203,1369.212539,803.6589628,1064.483679
204,1333.321967,819.7713574,1059.326007
205,1365.589381,808.0493772,1009.539561
206,1353.867401,861.5442324,964.8255343
207,1315.760309,873.9908441,974.37362
208,1334.089223,930.3842252,928.2103307
209,1347.260467,963.3762713,951.6542911
210,1320.875355,981.7051858,902.5498504
211,1323.091875,1024.927324,945.7719883
212,1341.378164,1058.601376,915.763719
213,1298.923283,1075.481027,972.1571001
214,1315.035677,1118.703165,958.2612254
215,1308.428743,1176.545809,985.3709687
216,1290.099829,1234.431079,1057.152113
217,1317.209572,1295.2575,1076.93029
218,1279.869737,1329.656184,1103.315402
219,1309.153375,1367.763276,1126.759363
220,1277.653217,1398.538802,1183.152744
221,1295.2575,1460.089854,1208.813224
222,1304.76296,1511.36819,1227.824145
223,1293.04098,1591.205531,1243.979165
224,1263.757342,1636.644189,1260.816191
225,1299.647914,1712.091116,1249.094211
226,1268.872388,1761.195557,1238.096862
227,1250.543474,1819.762832,1237.37223
228,1259.324302,1876.92347,1227.824145
229,1285.709414,1895.252385,1198.540507
230,1273.987434,1937.749891,1198.540507
231,1241.762645,1983.870555,1177.270441
232,1273.987434,2002.924101,1138.481343
233,1252.035362,2027.092693,1094.491948
234,1224.158362,2024.194167,1014.654607
235,1263.757342,2021.253016,972.8817316
236,1235.880342,2010.980299,931.8761136
237,1214.652902,2003.648733,834.434489
238,1235.880342,1960.426595,807.3247457
239,1243.211908,1922.362128,761.8860879
240,1230.040665,1899.642799,691.5968321
241,1225.65025,1854.928773,690.1049437
242,1209.537856,1796.361497,630.7704112
243,1210.262487,1693.762202,649.0993257
244,1205.147441,1661.537412,635.8854571
245,1194.874724,1587.539748,642.4923914
246,1198.540507,1478.376143,651.9978517
247,1194.874724,1394.148387,638.8266085
248,1186.818527,1336.263118,660.054049
249,1191.933573,1297.431394,732.6024501
250,1169.214244,1219.767947,775.0999565
251,1175.821178,1178.037698,826.3782917
252,1184.602007,1123.09358,849.8222522
253,1180.936224,1059.326007,912.0979361
254,1185.369264,1009.539561,995.6010605
255,1185.369264,1018.320389,1043.213613
256,1191.933573,969.2159487,1120.87706
257,1173.647283,966.3174227,1203.655553
258,1155.318369,958.2612254,1258.599671
259,1162.649935,939.9323109,1356.765927
260,1203.655553,979.4886659,1431.488223
261,1175.821178,977.272146,1462.98838
262,1185.369264,971.4324686,1554.590327
263,1196.323987,1027.82585,1605.868663
264,1208.813224,1062.267159,1651.264695
265,1205.147441,1090.101534,1686.430636
266,1204.380184,1121.601691,1708.425333
267,1211.71175,1153.101849,1751.647471
268,1208.045967,1177.270441,1800.751912
269,1245.428428,1194.874724,1807.316221
270,1244.703796,1224.925619,1830.03555
271,1249.094211,1263.757342,1821.979352
272,1270.321651,1316.48494,1844.698681
273,1315.760309,1358.257815,1845.423313
274,1335.538486,1392.656499,1844.698681
275,1356.041295,1415.375828,1867.41801
276,1379.485256,1428.589697,1824.920504
277,1392.656499,1473.985729,1812.473892
278,1409.536151,1475.477617,1798.535392
279,1430.763591,1520.87365,1785.364149
280,1465.929532,1564.095788,1774.3668
281,1534.087518,1569.253459,1761.920188
282,1545.809499,1604.4194,1753.863991
283,1606.593294,1627.096103,1712.815748
284,1654.205846,1668.144347,1694.529458
285,1692.312939,1709.874596,1678.374438
286,1754.588622,1697.427984,1666.652458
287,1810.257372,1730.420031,1654.205846
288,1854.204141,1753.863991,1624.197577
289,1914.305931,1797.086129,1586.090485
290,1986.811707,1799.260023,1580.975439
291,2027.092693,1796.361497,1598.537097
292,2060.809371,1816.139675,1545.042242
293,2113.536969,1816.139675,1553.865696
294,2169.248344,1824.920504,1566.312308
295,2202.197765,1819.038201,1547.983393
296,2221.975942,1835.150595,1520.149018
297,2238.812968,1837.367115,1527.480584
298,2231.524028,1851.305615,1488.648861
299,2253.4761,1837.367115,1502.587361
300,2231.524028,1808.040852,1495.255795
301,2205.863548,1807.316221,1456.424071
302,2200.02387,1814.647786,1487.924229
303,2160.42489,1809.532741,1458.597966
304,2106.248029,1787.538043,1444.702091
305,2050.536654,1776.540694,1421.258131
306,2018.311864,1758.254405,1415.375828
307,1931.142957,1752.372103,1422.707394
308,1855.69603,1700.369136,1416.867716
309,1801.476543,1682.040221,1358.257815
310,1712.091116,1687.922524,1369.979796
311,1633.703037,1657.146998,1337.712381
312,1575.817768,1615.374123,1290.82446
313,1489.373492,1602.20288,1294.490243
314,1421.258131,1583.149334,1238.821493
315,1386.816822,1575.093136,1230.765296
316,1293.765612,1534.81215,1180.936224
